"Race recode (White, Black, Other)","Year of death","Crude Rate","Count","Population"
All races,1969-2014,10.5,1242864,11874641376
All races,1969,8.4,16834,201174393
All races,1970,8.5,17249,204000665
All races,1971,8.6,17767,206828966
All races,1972,8.8,18470,209286088
All races,1973,8.9,18828,211360233
All races,1974,9.0,19180,213343943
All races,1975,9.0,19426,215467514
All races,1976,9.4,20350,217564624
All races,1977,9.5,20789,219762255
All races,1978,9.8,21667,222097449
All races,1979,9.9,22239,224570142
All races,1980,10.1,22880,227225826
All races,1981,10.2,23370,229466391
All races,1982,10.4,24013,231665106
All races,1983,10.7,24954,233792697
All races,1984,10.8,25399,235825544
All races,1985,10.9,25940,237924311
All races,1986,11.4,27261,240133472
All races,1987,11.5,27863,242289738
All races,1988,11.9,28980,244499776
All races,1989,12.4,30519,246819839
All races,1990,13.0,32376,249622814
All races,1991,13.3,33563,252980941
All races,1992,13.3,34238,256514224
All races,1993,13.4,34865,259918588
All races,1994,13.3,34901,263125821
All races,1995,12.9,34475,266278393
All races,1996,12.7,34122,269394284
All races,1997,12.1,32889,272646925
All races,1998,11.7,32203,275854104
All races,1999,11.4,31728,279040168
All races,2000,11.0,31078,282162411
All races,2001,10.8,30719,284968955
All races,2002,10.6,30446,287625193
All races,2003,10.2,29554,290107933
All races,2004,9.9,29002,292805298
All races,2005,9.8,28905,295516599
All races,2006,9.5,28372,298379912
All races,2007,9.7,29093,301231207
All races,2008,9.4,28471,304093966
All races,2009,9.2,28088,306771529
All races,2010,9.2,28560,309346863
All races,2011,9.0,27970,311718857
All races,2012,8.7,27244,314102623
All races,2013,8.7,27681,316427395
All races,2014,8.9,28343,318907401
White,1969-2014,10.4,1027706,9858711457
White,1969,8.1,14365,176478713
White,1970,8.2,14678,178657368
White,1971,8.3,15083,180834779
White,1972,8.5,15602,182666549
White,1973,8.7,15969,184167209
White,1974,8.7,16200,185569934
White,1975,8.7,16340,187049241
White,1976,9.1,17144,188521124
White,1977,9.2,17481,190101582
White,1978,9.5,18194,191796257
White,1979,9.6,18654,193567593
White,1980,9.8,19095,195107839
White,1981,9.9,19405,196556476
White,1982,10.1,20062,197955570
White,1983,10.4,20784,199328900
White,1984,10.5,21100,200612713
White,1985,10.6,21470,201935763
White,1986,11.2,22707,203335908
White,1987,11.3,23169,204677253
White,1988,11.7,24175,206037224
White,1989,12.3,25469,207456203
White,1990,12.9,26915,209304826
White,1991,13.2,27971,211552344
White,1992,13.3,28428,213891107
White,1993,13.3,28847,216127383
White,1994,13.2,28912,218237731
White,1995,12.9,28495,220310591
White,1996,12.6,28021,222339157
White,1997,12.1,27051,224471055
White,1998,11.7,26416,226571966
White,1999,11.4,26004,228620435
White,2000,11.0,25340,230482882
White,2001,10.8,25066,232125650
White,2002,10.7,24918,233651028
White,2003,10.3,24232,235055034
White,2004,10.0,23726,236598302
White,2005,9.9,23597,238112319
White,2006,9.7,23202,239727764
White,2007,9.8,23666,241316565
White,2008,9.6,23362,242891089
White,2009,9.3,22777,244314613
White,2010,9.4,23172,245679092
White,2011,9.2,22728,246928968
White,2012,8.9,22093,248158737
White,2013,9.0,22549,249298948
White,2014,9.2,23072,250529673
Black,1969-2014,13.5,201504,1492548932
Black,1969,10.8,2405,22267578
Black,1970,11.0,2504,22703039
Black,1971,11.3,2612,23131896
Black,1972,11.9,2796,23525237
Black,1973,11.7,2793,23861065
Black,1974,12.0,2895,24204214
Black,1975,12.3,3018,24584415
Black,1976,12.5,3116,24950950
Black,1977,12.7,3204,25304306
Black,1978,13.1,3365,25664431
Black,1979,13.3,3477,26067888
Black,1980,13.7,3670,26772864
Black,1981,14.1,3839,27135782
Black,1982,13.8,3806,27509731
Black,1983,14.5,4039,27869197
Black,1984,14.6,4126,28214718
Black,1985,15.0,4272,28571872
Black,1986,15.1,4358,28946777
Black,1987,15.3,4487,29329227
Black,1988,15.4,4581,29727195
Black,1989,15.9,4784,30146448
Black,1990,16.9,5181,30648345
Black,1991,16.9,5298,31290743
Black,1992,17.2,5485,31979982
Black,1993,17.3,5656,32634735
Black,1994,17.0,5649,33258981
Black,1995,16.5,5592,33847306
Black,1996,16.6,5716,34415478
Black,1997,15.6,5465,35007679
Black,1998,15.3,5436,35594140
Black,1999,14.8,5357,36173121
Black,2000,14.6,5346,36728709
Black,2001,14.1,5265,37249775
Black,2002,13.6,5145,37748424
Black,2003,12.8,4894,38209741
Black,2004,12.4,4815,38738798
Black,2005,12.3,4823,39280731
Black,2006,11.8,4698,39857107
Black,2007,12.1,4908,40451108
Black,2008,11.2,4587,41048959
Black,2009,11.5,4794,41632450
Black,2010,11.5,4853,42200372
Black,2011,10.9,4658,42722897
Black,2012,10.6,4595,43252304
Black,2013,10.3,4528,43772123
Black,2014,10.4,4613,44316094
"Other (American Indian/AK Native, Asian/Pacific Islander)",1969-2014,2.6,13638,523380987
"Other (American Indian/AK Native, Asian/Pacific Islander)",1969,2.6,64,2428102
"Other (American Indian/AK Native, Asian/Pacific Islander)",1970,2.5,67,2640258
"Other (American Indian/AK Native, Asian/Pacific Islander)",1971,2.5,72,2862291
"Other (American Indian/AK Native, Asian/Pacific Islander)",1972,2.3,72,3094302
"Other (American Indian/AK Native, Asian/Pacific Islander)",1973,2.0,66,3331959
"Other (American Indian/AK Native, Asian/Pacific Islander)",1974,2.4,85,3569795
"Other (American Indian/AK Native, Asian/Pacific Islander)",1975,1.8,68,3833858
"Other (American Indian/AK Native, Asian/Pacific Islander)",1976,2.2,90,4092550
"Other (American Indian/AK Native, Asian/Pacific Islander)",1977,2.4,104,4356367
"Other (American Indian/AK Native, Asian/Pacific Islander)",1978,2.3,106,4636761
"Other (American Indian/AK Native, Asian/Pacific Islander)",1979,2.2,107,4934661
"Other (American Indian/AK Native, Asian/Pacific Islander)",1980,2.2,115,5345123
"Other (American Indian/AK Native, Asian/Pacific Islander)",1981,2.1,124,5774133
"Other (American Indian/AK Native, Asian/Pacific Islander)",1982,2.3,144,6199805
"Other (American Indian/AK Native, Asian/Pacific Islander)",1983,2.0,131,6594600
"Other (American Indian/AK Native, Asian/Pacific Islander)",1984,2.5,172,6998113
"Other (American Indian/AK Native, Asian/Pacific Islander)",1985,2.7,198,7416676
"Other (American Indian/AK Native, Asian/Pacific Islander)",1986,2.5,196,7850787
"Other (American Indian/AK Native, Asian/Pacific Islander)",1987,2.5,205,8283258
"Other (American Indian/AK Native, Asian/Pacific Islander)",1988,2.6,224,8735357
"Other (American Indian/AK Native, Asian/Pacific Islander)",1989,2.9,263,9217188
"Other (American Indian/AK Native, Asian/Pacific Islander)",1990,2.9,279,9669643
"Other (American Indian/AK Native, Asian/Pacific Islander)",1991,2.9,291,10137854
"Other (American Indian/AK Native, Asian/Pacific Islander)",1992,3.1,325,10643135
"Other (American Indian/AK Native, Asian/Pacific Islander)",1993,3.2,362,11156470
"Other (American Indian/AK Native, Asian/Pacific Islander)",1994,2.9,340,11629109
"Other (American Indian/AK Native, Asian/Pacific Islander)",1995,3.2,388,12120496
"Other (American Indian/AK Native, Asian/Pacific Islander)",1996,3.0,385,12639649
"Other (American Indian/AK Native, Asian/Pacific Islander)",1997,2.8,373,13168191
"Other (American Indian/AK Native, Asian/Pacific Islander)",1998,2.6,351,13687998
"Other (American Indian/AK Native, Asian/Pacific Islander)",1999,2.6,367,14246612
"Other (American Indian/AK Native, Asian/Pacific Islander)",2000,2.6,392,14950820
"Other (American Indian/AK Native, Asian/Pacific Islander)",2001,2.5,388,15593530
"Other (American Indian/AK Native, Asian/Pacific Islander)",2002,2.4,383,16225741
"Other (American Indian/AK Native, Asian/Pacific Islander)",2003,2.5,428,16843158
"Other (American Indian/AK Native, Asian/Pacific Islander)",2004,2.6,461,17468198
"Other (American Indian/AK Native, Asian/Pacific Islander)",2005,2.7,485,18123549
"Other (American Indian/AK Native, Asian/Pacific Islander)",2006,2.5,472,18795041
"Other (American Indian/AK Native, Asian/Pacific Islander)",2007,2.7,519,19463534
"Other (American Indian/AK Native, Asian/Pacific Islander)",2008,2.6,522,20153918
"Other (American Indian/AK Native, Asian/Pacific Islander)",2009,2.5,517,20824466
"Other (American Indian/AK Native, Asian/Pacific Islander)",2010,2.5,535,21467399
"Other (American Indian/AK Native, Asian/Pacific Islander)",2011,2.6,584,22066992
"Other (American Indian/AK Native, Asian/Pacific Islander)",2012,2.5,556,22691582
"Other (American Indian/AK Native, Asian/Pacific Islander)",2013,2.6,604,23356324
"Other (American Indian/AK Native, Asian/Pacific Islander)",2014,2.7,658,24061634
Other unspecified (1978-1991),1969-2014,NA,16,0
Other unspecified (1978-1991),1969,NA,NA,0
Other unspecified (1978-1991),1970,NA,NA,0
Other unspecified (1978-1991),1971,NA,NA,0
Other unspecified (1978-1991),1972,NA,NA,0
Other unspecified (1978-1991),1973,NA,NA,0
Other unspecified (1978-1991),1974,NA,NA,0
Other unspecified (1978-1991),1975,NA,NA,0
Other unspecified (1978-1991),1976,NA,NA,0
Other unspecified (1978-1991),1977,NA,NA,0
Other unspecified (1978-1991),1978,NA,NA,0
Other unspecified (1978-1991),1979,NA,NA,0
Other unspecified (1978-1991),1980,NA,NA,0
Other unspecified (1978-1991),1981,NA,NA,0
Other unspecified (1978-1991),1982,NA,NA,0
Other unspecified (1978-1991),1983,NA,NA,0
Other unspecified (1978-1991),1984,NA,NA,0
Other unspecified (1978-1991),1985,NA,NA,0
Other unspecified (1978-1991),1986,NA,NA,0
Other unspecified (1978-1991),1987,NA,NA,0
Other unspecified (1978-1991),1988,NA,NA,0
Other unspecified (1978-1991),1989,NA,NA,0
Other unspecified (1978-1991),1990,NA,NA,0
Other unspecified (1978-1991),1991,NA,NA,0
Other unspecified (1978-1991),1992,NA,NA,0
Other unspecified (1978-1991),1993,NA,NA,0
Other unspecified (1978-1991),1994,NA,NA,0
Other unspecified (1978-1991),1995,NA,NA,0
Other unspecified (1978-1991),1996,NA,NA,0
Other unspecified (1978-1991),1997,NA,NA,0
Other unspecified (1978-1991),1998,NA,NA,0
Other unspecified (1978-1991),1999,NA,NA,0
Other unspecified (1978-1991),2000,NA,NA,0
Other unspecified (1978-1991),2001,NA,NA,0
Other unspecified (1978-1991),2002,NA,NA,0
Other unspecified (1978-1991),2003,NA,NA,0
Other unspecified (1978-1991),2004,NA,NA,0
Other unspecified (1978-1991),2005,NA,NA,0
Other unspecified (1978-1991),2006,NA,NA,0
Other unspecified (1978-1991),2007,NA,NA,0
Other unspecified (1978-1991),2008,NA,NA,0
Other unspecified (1978-1991),2009,NA,NA,0
Other unspecified (1978-1991),2010,NA,NA,0
Other unspecified (1978-1991),2011,NA,NA,0
Other unspecified (1978-1991),2012,NA,NA,0
Other unspecified (1978-1991),2013,NA,NA,0
Other unspecified (1978-1991),2014,NA,NA,0
